event,pos,name,cost,points,ppm
5,8th,Lewis Hamilton,16.19,127,8
5,9th,Valtteri Bottas,7.54,122,16
5,10th,Nicholas Latifi,5.69,94,17
5,11th,Lance Stroll,7.54,79,10
5,12th,Yuki Tsunoda,7.42,77,10
5,13th,Daniel Ricciardo,8.24,76,9
5,14th,Fernando Alonso,6.82,75,11
5,15th,Mick Schumacher,5.29,67,13
5,16th,Kevin Magnussen,6.35,64,10
5,17th,Sebastian Vettel,7.16,60,8
5,18th,Pierre Gasly,8.32,53,6
5,19th,Lando Norris,9.55,45,5
5,20th,Guanyu Zhou,6.60,6,1
6,1st,Max Verstappen,19.31,301,16
6,2nd,Sergio Pérez,11.46,221,19
6,3rd,George Russell,12.30,181,15
6,4th,Lewis Hamilton,15.59,176,11
6,5th,Carlos Sainz Jr.,9.63,171,18
6,6th,Fernando Alonso,6.74,150,22
6,7th,Esteban Ocon,8.79,141,16
6,8th,Valtteri Bottas,7.76,139,18
6,9th,Lando Norris,8.96,121,14
6,10th,Sebastian Vettel,6.93,108,16
6,11th,Yuki Tsunoda,7.30,100,14
6,12th,Nicholas Latifi,5.87,87,15
6,13th,Lance Stroll,7.42,85,11
6,14th,Daniel Ricciardo,8.03,85,11
6,15th,Pierre Gasly,7.91,84,11
6,16th,Mick Schumacher,5.30,79,15
6,17th,Charles Leclerc,14.27,77,5
6,18th,Kevin Magnussen,6.23,76,12
6,19th,Alexander Albon,7.01,68,10
6,20th,Guanyu Zhou,5.99,28,5
7,1st,Sergio Pérez,11.94,324,27
7,2nd,Charles Leclerc,13.41,194,14
7,3rd,Carlos Sainz Jr.,9.93,194,20
7,4th,Max Verstappen,19.60,179,9
7,5th,Lando Norris,8.96,164,18
7,6th,George Russell,12.41,149,12
7,7th,Fernando Alonso,7.17,122,17
7,8th,Pierre Gasly,7.74,112,14
7,9th,Lewis Hamilton,15.33,110,7
7,10th,Valtteri Bottas,8.01,109,14
7,11th,Lance Stroll,7.31,96,13
7,12th,Nicholas Latifi,5.92,93,16
7,13th,Guanyu Zhou,5.60,91,16
7,14th,Sebastian Vettel,7.03,88,13
7,15th,Daniel Ricciardo,7.85,83,11
